T_thermocontroller T_self C D R X
52.44 -1 +3.42207E-011 +3.87726E-002 +1.80054E+004 -4.64385E+005
52.44 -1 +3.42307E-011 +3.85240E-002 +1.78851E+004 -4.64259E+005
52.44 -1 +3.42452E-011 +3.82086E-002 +1.77316E+004 -4.64073E+005
52.44 -1 +3.42397E-011 +3.90383E-002 +1.81184E+004 -4.64119E+005
52.44 -1 +3.42271E-011 +3.88236E-002 +1.80257E+004 -4.64297E+005
52.44 -1 +3.42464E-011 +3.86302E-002 +1.79261E+004 -4.64042E+005
52.44 -1 +3.42444E-011 +3.89130E-002 +1.80579E+004 -4.64059E+005
52.44 -1 +3.42319E-011 +3.84941E-002 +1.78706E+004 -4.64244E+005
52.44 -1 +3.42427E-011 +3.88208E-002 +1.80162E+004 -4.64085E+005
52.44 -1 +3.42440E-011 +3.83431E-002 +1.77944E+004 -4.64085E+005
52.44 -1 +3.42613E-011 +3.85591E-002 +1.78853E+004 -4.63843E+005
52.44 -1 +3.42580E-011 +3.92291E-002 +1.81969E+004 -4.63864E+005
52.44 -1 +3.42614E-011 +3.90599E-002 +1.81169E+004 -4.63823E+005
52.44 -1 +3.42837E-011 +3.90404E-002 +1.80961E+004 -4.63523E+005
52.44 -1 +3.42627E-011 +3.90421E-002 +1.81080E+004 -4.63807E+005
52.44 -1 +3.42866E-011 +3.85279E-002 +1.78578E+004 -4.63503E+005
54.14 -1 +3.42836E-011 +3.90659E-002 +1.81079E+004 -4.63523E+005
54.14 -1 +3.42733E-011 +3.90815E-002 +1.81206E+004 -4.63661E+005
54.14 -1 +3.42890E-011 +3.86325E-002 +1.79049E+004 -4.63466E+005
54.14 -1 +3.42971E-011 +3.90043E-002 +1.80724E+004 -4.63343E+005
54.14 -1 +3.43028E-011 +3.86757E-002 +1.79176E+004 -4.63277E+005
54.14 -1 +3.43064E-011 +3.93479E-002 +1.82262E+004 -4.63205E+005
54.14 -1 +3.43004E-011 +3.87525E-002 +1.79543E+004 -4.63308E+005
54.14 -1 +3.43117E-011 +3.90611E-002 +1.80909E+004 -4.63144E+005
54.14 -1 +3.43100E-011 +3.89994E-002 +1.80633E+004 -4.63169E+005
54.14 -1 +3.43283E-011 +3.89584E-002 +1.80347E+004 -4.62923E+005
54.14 -1 +3.43458E-011 +3.87909E-002 +1.79483E+004 -4.62693E+005
54.14 -1 +3.43218E-011 +3.92377E-002 +1.81671E+004 -4.63001E+005
54.14 -1 +3.43470E-011 +3.87012E-002 +1.79063E+004 -4.62681E+005
54.14 -1 +3.43414E-011 +3.94386E-002 +1.82494E+004 -4.62730E+005
54.14 -1 +3.43366E-011 +3.89196E-002 +1.80125E+004 -4.62812E+005
54.14 -1 +3.43464E-011 +3.91895E-002 +1.81319E+004 -4.62672E+005
54.14 -1 +3.43443E-011 +3.89361E-002 +1.80161E+004 -4.62708E+005
54.14 -1 +3.43650E-011 +3.89685E-002 +1.80201E+004 -4.62429E+005
54.14 -1 +3.43526E-011 +3.93541E-002 +1.82045E+004 -4.62582E+005
54.14 -1 +3.43699E-011 +3.90126E-002 +1.80379E+004 -4.62361E+005
54.14 -1 +3.43677E-011 +3.94539E-002 +1.82425E+004 -4.62375E+005
56.12 -1 +3.43657E-011 +3.90086E-002 +1.80383E+004 -4.62418E+005
56.12 -1 +3.43852E-011 +3.92845E-002 +1.81551E+004 -4.62145E+005
